DateTime,Junction,Vehicles,ID,Event,Temperature (°F),Humidity (%),Pressure (in),Wind Speed (mph),Hour,DayOfWeek,IsWeekend,IsEvent
2015-01-11 00:00:00,1,15,20151101001,NoEvent,65,62,29.18,1,0,6,1,0
2015-01-11 01:00:00,1,13,20151101011,NoEvent,63,66,29.16,2,1,6,1,0
2015-01-11 02:00:00,1,10,20151101021,NoEvent,58,72,29.22,3,2,6,1,0
2015-01-11 03:00:00,1,7,20151101031,NoEvent,55,74,29.28,3,3,6,1,0
2015-01-11 04:00:00,1,9,20151101041,NoEvent,54,70,29.28,3,4,6,1,0
2015-01-11 05:00:00,1,6,20151101051,NoEvent,50,73,29.02,4,5,6,1,0
2015-01-11 06:00:00,1,9,20151101061,NoEvent,51,74,29.08,4,6,6,1,0
2015-01-11 07:00:00,1,8,20151101071,NoEvent,50,73,29.0,4,7,6,1,0
2015-01-11 08:00:00,1,11,20151101081,NoEvent,46,78,29.23,4,8,6,1,0
2015-01-11 09:00:00,1,12,20151101091,NoEvent,50,72,29.15,5,9,6,1,0
2015-01-11 10:00:00,1,15,20151101101,NoEvent,45,73,29.23,6,10,6,1,0
2015-01-11 11:00:00,1,17,20151101111,NoEvent,47,78,29.21,6,11,6,1,0
2015-01-11 12:00:00,1,16,20151101121,NoEvent,54,74,29.01,6,12,6,1,0
2015-01-11 13:00:00,1,15,20151101131,NoEvent,59,74,29.04,6,13,6,1,0
2015-01-11 14:00:00,1,16,20151101141,NoEvent,63,72,29.05,6,14,6,1,0
2015-01-11 15:00:00,1,12,20151101151,NoEvent,67,66,29.05,7,15,6,1,0
2015-01-11 16:00:00,1,12,20151101161,NoEvent,62,70,29.06,7,16,6,1,0
2015-01-11 17:00:00,1,16,20151101171,NoEvent,65,64,29.25,7,17,6,1,0
2015-01-11 18:00:00,1,17,20151101181,NoEvent,62,66,29.06,8,18,6,1,0
2015-01-11 19:00:00,1,20,20151101191,NoEvent,62,68,29.07,8,19,6,1,0
2015-01-11 20:00:00,1,17,20151101201,NoEvent,63,69,29.07,8,20,6,1,0
2015-01-11 21:00:00,1,19,20151101211,NoEvent,66,70,29.19,8,21,6,1,0
2015-01-11 22:00:00,1,20,20151101221,NoEvent,66,69,29.06,8,22,6,1,0
2015-01-11 23:00:00,1,15,20151101231,NoEvent,61,65,29.13,9,23,6,1,0
2015-02-11 00:00:00,1,14,20151102001,Diwali,77,65,29.11,3,0,2,0,1
2015-02-11 01:00:00,1,12,20151102011,Diwali,76,66,29.1,3,1,2,0,1
2015-02-11 02:00:00,1,14,20151102021,Diwali,75,66,29.1,3,2,2,0,1
2015-02-11 03:00:00,1,12,20151102031,Diwali,74,67,29.09,3,3,2,0,1
2015-02-11 04:00:00,1,12,20151102041,Diwali,74,67,29.09,4,4,2,0,1
2015-02-11 05:00:00,1,11,20151102051,Diwali,73,68,29.08,4,5,2,0,1
2015-02-11 06:00:00,1,13,20151102061,Diwali,72,68,29.08,4,6,2,0,1
2015-02-11 07:00:00,1,14,20151102071,Diwali,72,69,29.07,4,7,2,0,1
2015-02-11 08:00:00,1,12,20151102081,Diwali,73,68,29.07,5,8,2,0,1
2015-02-11 09:00:00,1,22,20151102091,Diwali,75,67,29.06,5,9,2,0,1
2015-02-11 10:00:00,1,32,20151102101,Diwali,77,66,29.05,5,10,2,0,1
2015-02-11 11:00:00,1,31,20151102111,Diwali,79,65,29.05,5,11,2,0,1
2015-02-11 12:00:00,1,35,20151102121,Diwali,81,64,29.04,5,12,2,0,1
2015-02-11 13:00:00,1,26,20151102131,Diwali,83,63,29.03,5,13,2,0,1
2015-02-11 14:00:00,1,34,20151102141,Diwali,85,62,29.02,6,14,2,0,1
2015-02-11 15:00:00,1,30,20151102151,Diwali,87,61,29.01,6,15,2,0,1
2015-02-11 16:00:00,1,27,20151102161,Diwali,88,60,29.0,6,16,2,0,1
2015-02-11 17:00:00,1,27,20151102171,Diwali,89,59,28.99,6,17,2,0,1
2015-02-11 18:00:00,1,24,20151102181,Diwali,88,60,29.0,6,18,2,0,1
2015-02-11 19:00:00,1,26,20151102191,Diwali,87,61,29.01,6,19,2,0,1
2015-02-11 20:00:00,1,29,20151102201,Diwali,85,62,29.02,6,20,2,0,1
2015-02-11 21:00:00,1,32,20151102211,Diwali,83,63,29.03,6,21,2,0,1
2015-02-11 22:00:00,1,30,20151102221,Diwali,81,64,29.04,5,22,2,0,1
2015-02-11 23:00:00,1,27,20151102231,Diwali,79,65,29.05,5,23,2,0,1
2015-03-11 00:00:00,1,21,20151103001,Diwali,77,66,29.06,5,0,2,0,1
2015-03-11 01:00:00,1,18,20151103011,NoEvent,62,67,29.07,9,1,2,0,0
2015-03-11 02:00:00,1,19,20151103021,NoEvent,54,72,29.09,9,2,2,0,0
2015-03-11 03:00:00,1,13,20151103031,NoEvent,49,72,29.13,9,3,2,0,0
2015-03-11 04:00:00,1,11,20151103041,NoEvent,47,78,29.06,9,4,2,0,0
2015-03-11 05:00:00,1,11,20151103051,NoEvent,47,78,29.29,10,5,2,0,0
2015-03-11 06:00:00,1,11,20151103061,NoEvent,46,80,29.23,11,6,2,0,0
2015-03-11 07:00:00,1,14,20151103071,NoEvent,43,74,29.03,12,7,2,0,0
2015-03-11 08:00:00,1,15,20151103081,NoEvent,41,80,29.08,13,8,2,0,0
2015-03-11 09:00:00,1,29,20151103091,NoEvent,41,80,29.1,14,9,2,0,0
2015-03-11 10:00:00,1,33,20151103101,NoEvent,42,80,29.0,14,10,2,0,0
2015-03-11 11:00:00,1,32,20151103111,NoEvent,46,76,29.22,15,11,2,0,0
2015-03-11 12:00:00,1,32,20151103121,NoEvent,45,73,29.2,15,12,2,0,0
2015-03-11 13:00:00,1,29,20151103131,NoEvent,49,75,29.09,16,13,2,0,0
2015-03-11 14:00:00,1,27,20151103141,NoEvent,54,70,29.27,17,14,2,0,0
